ID в ИС ГТИБД,Название,Тип,Описание
3321,выставочные залы особняка румянцева,военно-исторический,особняк графа румянцева с самого начала был одним из центров культурной жизни петербурга  граф был просветителем и меценатом  он собрал уникальную коллекцию различных древностей  старинных рукописей  церковных книг и прочих памятников российской истории и культуры 
4388,выставочный зал правительства ленинградской области  смольный ,ведомственное учреждение,здесь проводятся выставки  представляющие культурную жизнь ленинградской области – культуру и быт населяющих ее народов  историю городов  замков  крепостей  поместий и выдающихся деятелей русской истории и культуры 
4390,выставочный центр  ленэкспо ,негосударственное учреждение, ленэкспо  сегодня – один из крупнейших комплексов в россии и самый большой конгрессный и выставочный центр на северо-западе  расположенный на берегу финского залива в центре международных торговых путей 
4391,выставочный центр санкт-петербургского союза художников,негосударственное учреждение,выставочный центр санкт-петербургского союза художников приглашает всех ценителей истинного искусства посетить художественные выставки  концерты  творческие конкурсы и инсталляции  ежегодно в стенах дома на большой морской проходят горячо любимые петербуржцами осенняя и  весенняя выставки   андреевский флаг    русский север    день победы    общегородская выставка детского творчества  
4424,государственный музей городской скульптуры  новый выставочный зал,гос  городское учреждение,новый выставочный зал известен в городе как площадка для проведения разнообразных креативных выставочных проектов  здесь проходят тематические экспозиции из фондов музея  персональные выставки российских художников и скульпторов  выставки современного искусства  международные проекты  презентации  кинопоказы 
4425,государственный музейно-выставочный центр  росфото ,гос  федеральное учреждение,государственный музейно-выставочный центр росфото основан в 2002 году министерством культуры российской федерации  росфото осуществляет деятельность по всем направлениям актуальной проблематики  связанной с фотографией и изображением  выставочные и научно-исследовательские программы в области визуальной культуры  в своей деятельности центр активно сотрудничает c авторитетными международными музейными и архивными организациями и культурными институтами  с российскими музеями и архивами  росфото состоит в международном союзе музеев icom 
4426,манеж кадетского корпуса- банкетный зал,негосударственное учреждение,площадка для событий совершенно разного типа  конференций  модных показов  концертов  банкетов  выставок  выпускных и пр 
4427,музейно-выставочный центр  петербургский художник ,негосударственное учреждение, петербургский художник  - крупнейшая коллекция реалистического искусства в санкт-петербурге  более 2500 работ  у нас вы найдете наиболее яркие произведения ленинградской школы живописи второй половины xx века  среди авторов - виктор орешников  борис угаров  виктор рейхет  иван варичев  николай галахов  маргарита рубан  георгий татарников  николай репин  энгельс козлов и многие другие  работы этих художников также находятся в фондах русского музея и третьяковской галереи  цель центра - познакомить широкую публику с работами лучших представителей русского реалистического направления в живописи и рисунке  выставки петербургских художников проводятся каждые три месяца 
9254,конгрессно-выставочный центр  экспофорум ,негосударственное учреждение,экспофорум новый конгрессно-выставочный центр  открывшийся в санкт-петербурге 7 октября 2014 года  это самая современная в европе и россии площадка для проведения деловых и развлекательных мероприятий любого масштаба и формата - выставок  конгрессов  форумов  спортивных и культурных событий  конгрессно-выставочный центр  экспофорум  - это самая крупная специализированная площадка в санкт-петербурге  в его составе  три выставочных павильона  конгресс-центр общей вместимостью 30 000 человек  68 конференц-залов   первые в петербурге отели мирового бренда hilton  бизнес-центр  таможенно-логистический комплекс  кафе  рестораны и другие объекты сопутствующей инфраструктуры  оператором площадки выступает компания экспофорум-интернэшнл  компания экспофорум-интернэшнл оказывает туристические услуги - индивидуальные и групповые обзорные экскурсии по санкт-петербургу и пригородам  экскурсии по рекам и каналам  услуги гидов-переводчиков  посещение музеев и дворцов 
9256,выставочный зал цбс московского района,гос  учреждение,выставочный зал филиала № 3  являющийся уже много лет неотъемлемой частью цбс и всей системы учреждений культуры московского района и в дальнейшем будет стремиться создавать условия для воспитания и реализации потенциала творчески ориентированных людей 
9352,санкт-петербургский дом архитектора  особняк половцева ,гос  учреждение,в залах дома архитектора проводятся общественные мероприятия союза архитекторов  выставки архитектурных проектов и художественных работ 
9353,выставочный зал санкт-петербургского дома учёных,гос  учреждение,санкт-петербургский дом учёных организует литературные и музыкальные вечера  спектакли  выставки  демонстрации кино-видеофильмов  концерты  вечера отдыха  встречи с государственными и общественными деятелями  деятелями культуры и искусства 
9354,выставочный зал института им  репина  парадные залы научно-исследовательского музея российской академии художеств ,гос  учреждение,
12829,выставочный зал  центра книги и графики ,негос  учреждение,в центре есть два выставочных залов  оснащенных современным выставочным оборудованием  центр имеет конференц-зал  оборудованный мультимедийным видео-проектором и новейшим звуковым оборудованием с акустическим стерео эффектом  центр книги и графики  работает ежедневно без выходных с 10 00 до 19 00 
12830,выставочные залы елагиноостровского дворца  конюшенный корпус ,гос  учреждение,выставочные пространства  площадью около 1000 кв м   оборудованы новейшим осветительным и экспозиционным оборудованием  которое можно использовать для художественных и исторических проектов  в программе выставочной деятельности – выставки мастеров декоративно-прикладного и изобразительного искусства  художественно-исторические проекты  персональные выставки художников различных жанров и направлений 
13923,арт-банк  бывш  арт-центр в перинных рядах ,негос учреждение,арт-банк – новое выставочное пространство  созданное кураторами арт-центра в перинных рядах  которое обещает стать обязательной частью культурной программы в санкт-петербурге  в арт-банке поддерживается традиция особого оформления экспозиции с тщательно подобранными информационными материалами и музыкой  поход на выставку перестает быть редким событием  знакомиться с экспозицией – это приятно и полезно  в новом зале формируется образовательная программа с экскурсиями  концертами  интерактивными лекциями и мастер-классами для самой разнообразной аудитории  арт-банк находится на невском проспекте  напротив екатерининского сада  в изысканном здании азовского коммерческого банка  возведённом в конце xix века  увлекательные выставки графики великих мастеров xx века  а также современные фотопроекты проводятся в необычном интерьере настоящего дореволюционного банковского деньгохранилища 
13924,лофт проект этажи,негос учреждение,культурный центр лофт проект этажи   пионер лофт-дизайна и одно из крупнейших выставочных пространств в санкт-петербурге  с 2007 года центр занимает площадь бывшего хлебозавода на лиговском пр   74  на сегодняшний день на территории в 3000 квадратных метров находятся более 150 креативных проектов   магазинчики  выставки  кафе и галереи  на третьем этаже вас ждёт кофейня зелёная комната с большой открытой терассой  а над 5 этажем   пространство крыша  крыша лофт проект этажи   большая  оборудованная  безопасная обзорная площадка площадью более 1200 кв  м  отсюда видны многие достопримечательности и открывается отличный вид на лиговский проспект 
13927,музей истории фотографии,частный,музей истории фотографии  миф  основан 18 08 2003 в санкт-петербурге по инициативе ряда частных лиц и общественных организаций  коллекция миф образована путем объединения нескольких частных собраний с различными векторами интереса  среди которых особого упоминания заслуживает обширное собрание в в платонова  музейные помещения помимо двух залов постоянной экспозиции включают четыре зала временных выставок  фондохранилище и библиотеку 
13928,культурно-выставочный центр  евразия ,негос  учреждение,культурно-выставочный центр  евразия  создан во  сивел  в 2000 году для развития деловых межрегиональных связей и продвижения продукции и услуг малого и среднего бизнеса  в центре ежегодно проводится около 40 выставок и ярмарок  деловых и культурно-развлекательных программ   евразия  - единственный выставочный центр 4-х северных районов города с населением 1 5 миллиона человек 
13930,музей современного искусства  эрарта ,негосударственное учреждение,erarta   самый крупный международный проект в сфере российского современного искусства  является частью обязательной программы знакомства с культурой россии  в санкт-петербурге представлен пятиэтажным зданием площадью в 10 000 кв  м  одно крыло которого отведено под постоянную экспозицию музея erarta   самую крупную частную коллекцию современного искусства в россии  состоящую из из более чем 2300 работ 250 художников со всех регионов страны  еще два крыла отданы временным экспозициям  в которых ежегодно проходит более тридцати выставок 
13931,музей сновидений фрейда,негосударственное учреждение,музей сновидений фрейда открыт к 100-летию выхода в свет книги  толкование сновидений   экспозиция музея посвящена идеям зигмунда фрейда  проливающим свет на происхождение сновидений  на механизмы работы сновидения  часть экспозиции  это интерактивная инсталяция  попытка реконструировать возможное  виртуальное сновидение самого фрейда  инсталяция вовлекает посетителя в фантазирование  сновидение на яву  когда ощущение реальности теряется и посетитель остается один на один с вопросом  реально ли это  в музее регулярно проходят выставки  концерты  кинопоказы 
13932,санкт-петербургский музей игрушки,негос  учреждение,санкт-петербургский музей игрушки   первый негосударственный музей санкт-петербурга  член союза музеев россии  основан 7 мая 1997  музей собирает  хранит  реставрирует  экспонирует и изучает игрушку как особую область искусства  в которой сплетаются древние национальные традиции и самые современные художественные тенденции  коллекция музея формируется по трем направлениям  народная  индустриальная и авторская художественная игрушка  сегодня коллекция музея насчитывает более 7000 единиц хранения музей организует выставки  проводит обзорные и тематические экскурсии для посетителей всех возрастов 
13933,выставочный центр   эрмитаж – выборг ,гос учреждение,центр  эрмитаж-выборг  открылся в июне 2010 года  начало этому проекту было положено в ноябре 2007 года подписанием соглашения о сотрудничестве между государственным эрмитажем  правительством ленинградской области и муниципальным образованием  выборгский район  ленинградской области 
13934,концертный зал - карнавал,гос учреждение, карнавал  был открыт в 1986 году и включает в себя учебные  репетиционные помещения и уникальный концертный зал  предназначенный для выступлений детских творческих коллективов города  концертный зал  карнавал  – сложное технологическое сооружение  располагающее профессионально оборудованной сценой  удобным зрительным залом на 735 мест  светлым трехъярусным фойе с оранжереей первого этажа и кафе  проведение всех зрелищно-массовых мероприятий  проходящих на сцене  карнавала   обеспечивают специалисты творческих подразделений  инженерно-технических служб и художественно-постановочной части 
